timestamp,forecast_xinanjiang,forecast_gr4j,forecast_rf,forecast_lstm
2008/6/18 0:00,281.5218060555414,138.15982438593738,98.2,98.2
2008/6/18 1:00,272.3750102149042,127.67607597260468,97.5,97.5
2008/6/18 2:00,252.1644254461346,119.04709229576044,97.0,97.0
2008/6/18 3:00,232.8611252761788,112.24097325096008,207.03341988732555,98.1
2008/6/18 4:00,241.21751887934823,115.9880539589674,207.03341988732555,340.3915710449219
2008/6/18 5:00,246.568127566222,126.02712287966878,207.03341988732555,340.3996887207031
2008/6/18 6:00,247.529167713136,141.60073037135035,207.03341988732555,341.09698486328125
2008/6/18 7:00,245.01025646840893,163.31729414002763,208.14471085943563,341.1688842773437
2008/6/18 8:00,240.08876866980228,192.21455247053476,211.26693502614495,341.2636413574219
2008/6/18 9:00,234.11997378221903,229.9853988818381,237.55541132517735,340.8948059082031
2008/6/18 10:00,226.2314844565863,278.7218497143959,237.55541132517735,340.6723022460937
2008/6/18 11:00,220.4589144974912,340.4043014823123,231.14072407465824,340.4763488769531
2008/6/18 12:00,219.07395274291324,404.6531215264416,230.57553690924527,340.6998291015625
2008/6/18 13:00,223.1451646989312,466.7568132160763,230.44544706549527,340.5350646972656
2008/6/18 14:00,223.612603420502,526.7934876468697,230.51061650993972,341.0206604003906
2008/6/18 15:00,219.1503794747566,584.9306487480246,231.0758036753527,341.82781982421875
2008/6/18 16:00,211.9469168839658,641.3715167659416,231.01063423090824,341.8521423339844
2008/6/18 17:00,202.84942904607257,696.4454413778253,231.01063423090824,341.0973205566406
2008/6/18 18:00,193.8217265400188,750.8143063808851,231.01063423090824,341.278564453125
2008/6/18 19:00,185.11968638364,802.1539886811646,231.01063423090824,340.75494384765625
2008/6/18 20:00,177.63191856470314,842.290579945984,230.57553690924527,340.65924072265625
2008/6/18 21:00,173.30091437855637,860.1183629614931,230.44544706549527,341.1192626953125
2008/6/18 22:00,171.4871803596802,859.2144088250169,230.51061650993972,341.8794860839844
2008/6/18 23:00,168.74838616704915,849.3537433823624,231.0758036753527,341.8465576171875
