timestamp,rainfall,pet,observed,forecast_xinanjiang,forecast_gr4j,forecast_rf,forecast_lstm
2008/6/18 0:00,0.0,0.2,98.2,281.5218060555414,138.15982438593738,98.2,98.2
2008/6/18 1:00,0.0,0.21,97.5,272.3750102149042,127.67607597260468,97.5,97.5
2008/6/18 2:00,0.02,0.21,97.0,252.1644254461346,119.04709229576045,97.0,97.0
2008/6/18 3:00,0.05,0.22,98.1,232.8611252761788,112.24097325096008,207.03341988732555,98.1
2008/6/18 4:00,0.1,0.22,100.5,241.21751887934826,115.9880539589674,207.03341988732555,340.3915710449219
2008/6/18 5:00,0.2,0.21,105.3,246.56812756622202,126.02712287966878,207.03341988732555,340.3996887207031
2008/6/18 6:00,0.044,0.208314042,100.242,247.52916771313596,141.60073037135035,207.03341988732555,341.09698486328125
2008/6/18 7:00,0.5,0.21,110.8,245.01025646840895,163.31729414002763,208.14471085943563,341.16888427734375
2008/6/18 8:00,1.2,0.22,125.6,240.08876866980228,192.21455247053473,211.26693502614498,341.2636413574219
2008/6/18 9:00,2.0,0.23,140.2,234.11997378221903,229.9853988818381,237.55541132517737,340.8948059082031
2008/6/18 10:00,1.5,0.23,150.7,226.2314844565863,278.7218497143959,237.55541132517737,340.67230224609375
2008/6/18 11:00,0.8,0.22,152.3,220.45891449749118,340.4043014823123,231.14072407465824,340.4763488769531
2008/6/18 12:00,0.4,0.22,148.0,219.07395274291324,404.6531215264416,230.57553690924527,340.6998291015625
2008/6/18 13:00,0.1,0.21,142.5,223.14516469893118,466.7568132160763,230.44544706549527,340.5350646972656
2008/6/18 14:00,0.0,0.2,138.2,223.612603420502,526.7934876468697,230.51061650993975,341.0206604003906
2008/6/18 15:00,0.0,0.2,135.0,219.1503794747566,584.9306487480246,231.0758036753527,341.82781982421875
2008/6/18 16:00,0.2,0.21,137.4,211.9469168839658,641.3715167659416,231.01063423090824,341.8521423339844
2008/6/18 17:00,0.6,0.21,142.9,202.84942904607257,696.4454413778253,231.01063423090824,341.0973205566406
2008/6/18 18:00,0.9,0.22,148.6,193.82172654001877,750.8143063808851,231.01063423090824,341.278564453125
2008/6/18 19:00,0.7,0.22,150.1,185.11968638364002,802.1539886811646,231.01063423090824,340.75494384765625
2008/6/18 20:00,0.3,0.21,147.8,177.63191856470314,842.290579945984,230.57553690924527,340.65924072265625
2008/6/18 21:00,0.1,0.2,143.5,173.30091437855637,860.1183629614931,230.44544706549527,341.1192626953125
2008/6/18 22:00,0.0,0.2,139.2,171.4871803596802,859.2144088250169,230.51061650993975,341.8794860839844
2008/6/18 23:00,0.0,0.2,135.0,168.74838616704915,849.3537433823624,231.0758036753527,341.8465576171875
